bülten no,fert no,cinsiyet,doğum tarihi gün,doğum tarihi ay,doğum tarihi yıl,yaş,doğum yeri,doğum yeri ülke kodu,uyruk,uyruk ülke kodu,yakınlık durumu,eğitim,okuma yazma durumu,eğitime devam etme durumu,devam edilen okul,çocuğun kendi masaüstü bilgisayarı,çocuğun kendi dizüstü bilgisayarı,çocuğun kendi tableti,çocuğun kendi cep telefonu,çocuğun kendi akıllı saati,çocuğun kendi oyun konsolu,bilgisayar oyunu oynama sıklığı,spor yapma sıklığı,kitap okuma sıklığı,diğer hobiler sıklığı,eğlenmek için dışarı çıkma sıklığı,internette gezinme sıklığı,tv programları izleme sıklığı,cep telefonu kullanım durumu,cep telefonu kullanım sıklığı,hafta içi cep telefonu ortalama kullanımı,hafta sonu cep telefonu ortalama kullanımı,cep telefonu konuşma amaçlı,cep telefonu mesaj amaçlı,cep telefonu sosyal medya amaçlı,cep telefonu oyun amaçlı,cep telefonu film amaçlı,cep telefonu müzik amaçlı,cep telefonu internette gezinme amaçlı,cep telefonu ders/ödev amaçlı,cep telefonu online derse katılma amaçlı,çocuk yarım saatte bir telefonunu kontrol ediyor,uyumadan son iş olarak telefon kontrol eder,uyanınca ilk iş olarak telefon kontrol eder,tv izlerken telefon kullanma,başkaları ile yemek yerken telefon kullanma,bilgisayar kullanım durumu,bilgisayar türü masaüstü,bilgisayar türü dizüstü,bilgisayar türü tablet,bilgisayar kullanım sıklığı,hafta içi ortalama bilgisayar kullanımı,hafta sonu ortalama bilgisayar kullanımı,bilgisayarda oyun oynama/indirme,bilgisayarda ders/sunum/ödev ,bilgisayarda online derse katılma,bilgisayarda müzik/film,bilgisayarda internette gezinme,bilgisayarda sosyal medya,internet kullanım durumu,internet kullanım sıklığı,hafta içi günde internet kullanım ortalaması,hafta sonu günde internet kullanım ortalaması,interneti ödev/ders amaçlı kullanma,interneti sosyal medya amaçlı kullanma,interneti eposta gönderme/alma amaçlı kullanma,interneti arama/mesaj amaçlı kullanma,interneti oyun indirme/oynama amaçlı kullanma,interneti müzik dinleme amaçlı kullanma,interneti video izleme amaçlı kullanma,interneti mal ve hizmetler hakkında bilgi amaçlı kullanma,internet üzerinden alışveriş yapma,internet üzerinden diğer,internet üzerinden diğer açıklama,sosyal medya kullanım durumu,youtube kullanımı,instagram kullanımı,twitter kullanımı,facebook kullanımı,tiktok kullanımı,snapchat kullanımı,pinterest kullanımı,diğer kullanılan sosyal medyalar,diğer kullanılan sosyal medyalar açıklama,sosyal medya kullanım sıklığı,hafta içi ortalama sosyal medya kullanımı,hafta sonu ortalama sosyal medya kullanımı,dijital oyun oynama,dijital oyun oynama sıklığı,hafta içi ortalama dijital oyun oynama,hafta sonu ortalama dijital oyun oynama,dijital oyun türü rol yapma,dijital oyun türü strateji,dijital oyun türü spor,dijital oyun türü macera,dijital oyun türü savaş,dijital oyun türü simülasyon,dijital oyunda çok fazla zaman harcama,ailesi çok fazla dijital oyun oynadığını düşünüyor,dijital oyun oynamadığı zaman kendini mutsuz hissediyor,fazla dijital oyun oynadığı için sorumluluklarını aksatıyor,planlanan süreden fazla dijital oyun oynama,ekran başında fazla zaman geçirmekten az ders çalışma,ekran başında fazla zaman geçirmekten aile ile daha az zaman geçirme,ekran başında fazla zaman geçirmekten az kitap okuma,ekran başında fazla zaman geçirmekten az uyku,ekran başında fazla zaman geçirmekten arkadasları ile az görüşme,çocuk ağırlık katsayısı
1006660466,4,2,18.0,10.0,2008,15,1,,1,,3,3,,1,4.0,2,1,2,1,2,2,5,5,13,29,6,6,23,1,16.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1,2.0,1.0,2.0,9.0,,,,,,,,,1,16.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,1,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,16.0,4.0,5.0,2,,,,,,,,,,,,,,,1,2,2,2,2,1654.43116003349
1006975997,3,1,13.0,11.0,2013,10,1,,1,,3,1,1.0,1,2.0,2,2,2,2,2,2,13,5,6,23,5,13,5,2,,,,,,,,,,,,,,,,,,1,2.0,2.0,1.0,13.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1,13.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,13.0,3.0,3.0,2,,,,,,,,,,,,,,,2,2,2,2,2,1014.56051713383
1007295627,2,2,20.0,4.0,2009,14,1,,1,,3,3,,1,4.0,2,1,2,1,2,2,5,6,13,6,13,6,6,1,16.0,5.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1,2.0,1.0,2.0,16.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1,16.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,,1,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,,16.0,5.0,2.0,2,,,,,,,,,,,,,,,1,1,2,1,2,2082.12205240241
1007804873,6,2,6.0,10.0,2011,12,1,,1,,3,2,,1,3.0,2,2,1,2,2,2,13,5,13,5,23,6,6,2,,,,,,,,,,,,,,,,,,1,2.0,2.0,1.0,13.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1,16.0,4.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,1,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,,16.0,3.0,3.0,1,16.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1,2,1,2,2,1209.59238134873
1007804873,7,1,31.0,5.0,2017,6,1,,1,,3,1,2.0,1,0.0,2,2,2,2,2,2,5,5,5,5,13,5,5,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,1209.59238134873
1008123307,5,2,28.0,8.0,2009,14,1,,1,,3,3,,1,4.0,1,2,2,1,2,2,23,5,5,5,13,6,13,1,16.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1,1.0,2.0,2.0,16.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1,16.0,4.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,1,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,,16.0,3.0,4.0,1,16.0,5.0,5.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1,2,1,2,2,1859.66789106222
1008123307,6,2,27.0,5.0,2014,9,1,,1,,3,1,1.0,1,2.0,2,1,2,2,2,2,13,5,6,5,13,6,13,1,16.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1,2.0,1.0,2.0,16.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1,16.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,17.0,3.0,4.0,1,17.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2,1,1,2,2,1859.66789106222
1008442095,4,2,18.0,3.0,2010,14,1,,1,,3,3,,1,4.0,2,2,2,1,2,2,5,13,13,13,23,6,13,1,16.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2,,,,,,,,,,,,,1,16.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,1,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,,17.0,2.0,3.0,1,17.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2,2,1,2,2,1015.91624872715
1008442095,5,1,8.0,4.0,2014,9,1,,1,,3,1,1.0,1,2.0,2,2,1,2,2,2,29,13,13,5,13,13,13,1,17.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2.0,2.0,1.0,17.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1,17.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,,2,,,,,,,,,,,,,1,17.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1,2,1,2,2,1015.91624872715
1008766725,3,2,30.0,11.0,2011,12,1,,1,,3,2,,1,3.0,2,2,2,1,1,2,5,5,6,5,13,6,13,1,13.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,,,,,,,,,,,,,1,17.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,,1,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,,13.0,1.0,3.0,1,9.0,,,,,,,,,,,,,,2,1,2,2,2,2165.68987343698
1009086040,4,2,10.0,5.0,2011,12,1,,1,,3,2,,1,3.0,2,1,1,1,2,2,23,13,6,13,23,6,13,1,16.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1,2.0,1.0,1.0,13.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1,16.0,3.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,2,1,2,2,1362.71285145379
1009401207,3,2,11.0,7.0,2009,14,1,,1,,3,3,,1,4.0,2,2,2,1,1,2,5,5,13,5,23,6,6,1,17.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2,,,,,,,,,,,,,1,17.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,1,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,,17.0,3.0,3.0,1,9.0,,,,,,,,,,,,,,2,2,1,2,2,1691.45691422995
1009401207,4,2,23.0,2.0,2015,9,1,,1,,3,1,1.0,1,2.0,2,2,2,2,2,2,5,5,6,6,13,13,6,1,17.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,,,,,,,,,,,,,1,17.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,17.0,1.0,2.0,1,13.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2,2,2,2,2,1691.45691422995
1010221446,3,2,5.0,9.0,2015,8,1,,1,,3,0,,1,2.0,2,2,1,2,2,2,13,13,13,5,13,13,29,2,,,,,,,,,,,,,,,,,,1,2.0,2.0,1.0,13.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1,17.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,17.0,3.0,3.0,1,16.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2,2,2,2,2,1644.44649218346
1010221446,4,1,9.0,9.0,2016,7,1,,1,,3,0,,1,2.0,2,2,1,2,2,2,13,13,13,5,13,13,29,2,,,,,,,,,,,,,,,,,,1,2.0,2.0,1.0,13.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1,16.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,16.0,3.0,3.0,1,16.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2,1,2,2,1644.44649218346
1010868824,4,1,2.0,3.0,2010,14,1,,1,,3,3,,2,,2,2,2,2,2,2,5,23,23,23,13,23,6,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,17.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,17.0,2.0,2.0,2,,,,,,,,,,,,,,,2,2,2,2,2,756.117242445804
1011504089,3,2,2.0,11.0,2016,7,1,,1,,3,0,,1,2.0,2,2,1,2,2,2,6,13,13,23,13,6,5,2,,,,,,,,,,,,,,,,,,1,2.0,2.0,1.0,16.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1,16.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,16.0,3.0,3.0,1,16.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,2,1,1821.44658426938
1012336168,3,1,12.0,8.0,2015,8,1,,1,,3,1,1.0,1,2.0,1,2,2,2,2,2,6,6,6,6,6,6,13,2,,,,,,,,,,,,,,,,,,1,1.0,2.0,1.0,16.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1,16.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,2,,,,,,,,,,,,,1,17.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2,1,2,2,2,1683.48399620787
